unix,date,symbol,open,high,low,close,Volume ADA,Volume USDT,tradecount
1.61289E+12,2/9/2021 18:00,ADA/USDT,0.67899,0.68599,0.6777,0.6847,17910776.3,12204082.44,19138
1.61289E+12,2/9/2021 17:00,ADA/USDT,0.67901,0.68199,0.67239,0.67904,19656111.4,13314909.6,17268
1.61289E+12,2/9/2021 16:00,ADA/USDT,0.6805,0.6856,0.67409,0.67902,23470269.7,15972523.95,21422
1.61288E+12,2/9/2021 15:00,ADA/USDT,0.69436,0.69545,0.67949,0.6805,22690984,15565058.11,44457
1.61288E+12,2/9/2021 14:00,ADA/USDT,0.67983,0.69465,0.67787,0.69435,19790663.2,13597763.24,19760
1.61288E+12,2/9/2021 13:00,ADA/USDT,0.67303,0.682,0.66815,0.67983,19933981.1,13511091.62,19001
1.61287E+12,2/9/2021 12:00,ADA/USDT,0.68128,0.6841,0.67092,0.67303,23594963.9,16012752.49,20523
1.61287E+12,2/9/2021 11:00,ADA/USDT,0.6689,0.68163,0.668,0.6814,25936479.3,17530958.98,22612
1.61286E+12,2/9/2021 10:00,ADA/USDT,0.69182,0.69296,0.6624,0.66862,29267307.5,19923352.9,26819
1.61286E+12,2/9/2021 9:00,ADA/USDT,0.70164,0.7081,0.685,0.69167,32239838,22488420.35,43515
1.61286E+12,2/9/2021 8:00,ADA/USDT,0.68026,0.70403,0.68026,0.70152,43563524.2,30340422.37,59116
1.61285E+12,2/9/2021 7:00,ADA/USDT,0.67679,0.68254,0.67594,0.68026,21768747.8,14783984.56,22114
1.61285E+12,2/9/2021 6:00,ADA/USDT,0.68653,0.68662,0.676,0.67686,18728470.9,12761591.22,41418
1.61285E+12,2/9/2021 5:00,ADA/USDT,0.68637,0.68729,0.68147,0.68659,15139028,10361366.47,34278
1.61284E+12,2/9/2021 4:00,ADA/USDT,0.68394,0.68955,0.67704,0.68631,19698442.5,13447656.15,19114
1.61284E+12,2/9/2021 3:00,ADA/USDT,0.67812,0.6854,0.67197,0.68395,15480032.9,10502375.08,19428
1.61284E+12,2/9/2021 2:00,ADA/USDT,0.68772,0.68798,0.67493,0.67811,26864442.2,18269378.22,22442
1.61283E+12,2/9/2021 1:00,ADA/USDT,0.6825,0.68899,0.67157,0.68804,30849450,20963883.37,26408
1.61283E+12,2/9/2021 0:00,ADA/USDT,0.67674,0.68687,0.67347,0.6824,33723421.4,22996229.65,26613
1.61283E+12,2/8/2021 23:00,ADA/USDT,0.68469,0.69222,0.6601,0.67638,55915583.2,38010878.86,36639
