https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP,Volume USDT,tradecount
1617418800000,2021-04-03 03:00:00,XRP/USDT,0.62399000,0.62667000,0.61762000,0.62327000,18837163.10000000,11706313.86167600,15562
1617415200000,2021-04-03 02:00:00,XRP/USDT,0.63285000,0.63598000,0.61751000,0.62419000,39123089.50000000,24497096.90682800,27501
1617411600000,2021-04-03 01:00:00,XRP/USDT,0.61662000,0.64000000,0.61096000,0.63284000,81668868.70000000,51161740.92513200,65092
1617408000000,2021-04-03 00:00:00,XRP/USDT,0.60701000,0.62084000,0.60623000,0.61666000,54544581.10000000,33434975.44912500,45780
1617404400000,2021-04-02 23:00:00,XRP/USDT,0.59704000,0.61000000,0.57087000,0.60701000,63783324.00000000,38265024.47158800,37801
1617400800000,2021-04-02 22:00:00,XRP/USDT,0.59799000,0.59999000,0.59235000,0.59703000,19024964.30000000,11338588.51619200,14344
1617397200000,2021-04-02 21:00:00,XRP/USDT,0.60384000,0.60384000,0.59506000,0.59798000,20564496.40000000,12303827.19333500,14713
1617393600000,2021-04-02 20:00:00,XRP/USDT,0.59210000,0.60800000,0.59052000,0.60386000,46844281.40000000,28049437.19063400,33241
1617390000000,2021-04-02 19:00:00,XRP/USDT,0.59276000,0.59295000,0.58285000,0.59219000,25839937.60000000,15222267.54501100,20154
1617386400000,2021-04-02 18:00:00,XRP/USDT,0.58960000,0.59285000,0.58783000,0.59259000,15599383.70000000,9203277.00595000,13940
1617382800000,2021-04-02 17:00:00,XRP/USDT,0.59465000,0.59630000,0.58504000,0.58976000,32764413.40000000,19367992.90382000,23384
1617379200000,2021-04-02 16:00:00,XRP/USDT,0.58247000,0.61000000,0.58160000,0.59472000,118412376.50000000,70683626.33222400,96684
1617375600000,2021-04-02 15:00:00,XRP/USDT,0.58018000,0.58633000,0.57977000,0.58237000,17728866.70000000,10324980.76438400,16318
1617372000000,2021-04-02 14:00:00,XRP/USDT,0.57729000,0.58492000,0.57692000,0.58030000,26229694.10000000,15245440.07380600,18670
1617368400000,2021-04-02 13:00:00,XRP/USDT,0.57840000,0.57988000,0.57463000,0.57723000,36670922.40000000,21171520.40499600,21294
1617364800000,2021-04-02 12:00:00,XRP/USDT,0.58125000,0.58387000,0.57707000,0.57841000,24296284.10000000,14102960.88851900,19817
1617361200000,2021-04-02 11:00:00,XRP/USDT,0.58723000,0.58814000,0.58072000,0.58125000,17942750.60000000,10458050.81600000,15297
1617357600000,2021-04-02 10:00:00,XRP/USDT,0.58612000,0.58757000,0.58160000,0.58719000,23274523.30000000,13610469.14408700,17487
1617354000000,2021-04-02 09:00:00,XRP/USDT,0.58092000,0.58851000,0.57774000,0.58612000,28760159.10000000,16736799.57447300,20689
1617350400000,2021-04-02 08:00:00,XRP/USDT,0.57892000,0.58425000,0.57637000,0.58092000,39758774.10000000,23073154.47870700,24253
1617346800000,2021-04-02 07:00:00,XRP/USDT,0.57635000,0.59090000,0.57427000,0.57890000,82701945.00000000,48195271.51395000,50057
1617343200000,2021-04-02 06:00:00,XRP/USDT,0.57028000,0.57762000,0.56522000,0.57630000,21465823.00000000,12242698.47642300,17946
1617339600000,2021-04-02 05:00:00,XRP/USDT,0.56933000,0.57236000,0.56818000,0.57028000,16643497.20000000,9491908.77637200,11253
1617336000000,2021-04-02 04:00:00,XRP/USDT,0.57255000,0.57330000,0.56689000,0.56928000,17068165.70000000,9719770.60624100,12052
1617332400000,2021-04-02 03:00:00,XRP/USDT,0.57017000,0.57365000,0.56795000,0.57255000,19761403.90000000,11289782.85452000,13384
1617328800000,2021-04-02 02:00:00,XRP/USDT,0.57175000,0.57700000,0.56751000,0.57018000,25189369.20000000,14407711.45957000,16955
1617325200000,2021-04-02 01:00:00,XRP/USDT,0.57568000,0.58227000,0.56807000,0.57168000,27396055.60000000,15776951.60515300,20471
1617321600000,2021-04-02 00:00:00,XRP/USDT,0.57061000,0.57972000,0.56767000,0.57555000,32753985.10000000,18811109.11010900,24615
1617318000000,2021-04-01 23:00:00,XRP/USDT,0.56890000,0.57331000,0.56587000,0.57087000,16711370.90000000,9525397.41564400,12140
1617314400000,2021-04-01 22:00:00,XRP/USDT,0.56393000,0.57072000,0.56253000,0.56893000,12620965.60000000,7157216.36158900,9991
1617310800000,2021-04-01 21:00:00,XRP/USDT,0.56448000,0.56554000,0.56160000,0.56405000,9978567.20000000,5628062.75817700,8263
1617307200000,2021-04-01 20:00:00,XRP/USDT,0.56592000,0.57172000,0.56362000,0.56449000,16883887.60000000,9573537.18985600,14056
1617303600000,2021-04-01 19:00:00,XRP/USDT,0.56055000,0.56793000,0.56054000,0.56588000,16654664.50000000,9413742.46022200,13521
1617300000000,2021-04-01 18:00:00,XRP/USDT,0.55935000,0.56301000,0.55028000,0.56055000,29048868.00000000,16222020.43453700,20031
1617296400000,2021-04-01 17:00:00,XRP/USDT,0.56503000,0.56691000,0.55619000,0.55916000,20340028.90000000,11432348.10399700,14660
1617292800000,2021-04-01 16:00:00,XRP/USDT,0.56269000,0.57120000,0.56200000,0.56505000,29362813.50000000,16624898.69335400,20160
1617289200000,2021-04-01 15:00:00,XRP/USDT,0.56929000,0.57169000,0.56217000,0.56260000,27926370.40000000,15815916.14615400,19519
1617285600000,2021-04-01 14:00:00,XRP/USDT,0.55824000,0.57200000,0.54864000,0.56915000,79020890.50000000,44355973.34533000,50854
1617282000000,2021-04-01 13:00:00,XRP/USDT,0.55634000,0.56288000,0.55538000,0.55824000,28082827.90000000,15716564.84663800,18923
1617278400000,2021-04-01 12:00:00,XRP/USDT,0.55552000,0.55969000,0.55296000,0.55635000,32914327.10000000,18288975.79992100,22400
1617274800000,2021-04-01 11:00:00,XRP/USDT,0.56245000,0.56257000,0.55252000,0.55553000,46082025.70000000,25692006.78390300,31878
1617271200000,2021-04-01 10:00:00,XRP/USDT,0.56513000,0.56666000,0.55909000,0.56228000,30951601.80000000,17426045.41696400,22976
1617267600000,2021-04-01 09:00:00,XRP/USDT,0.56560000,0.56844000,0.56452000,0.56512000,22369584.70000000,12673431.52368500,17068
1617264000000,2021-04-01 08:00:00,XRP/USDT,0.56984000,0.57441000,0.56300000,0.56565000,36270715.40000000,20640584.88217300,24346
